"area_code","item_code","Area","Item","share","category"
508,2612,"Mozambique","Lemons, Limes and products",5.08188182083826e-05,"vegetal_products"
300,2612,"Greece","Lemons, Limes and products",0.00140039879669437,"vegetal_products"
704,2615,"Viet Nam","Bananas",0.0109842987201478,"vegetal_products"
428,2616,"Latvia","Plantains",0.00144232004728497,"vegetal_products"
478,2635,"Mauritania","Tea (including mate)",0.000417445723286105,"vegetal_products"
376,2614,"Israel","Citrus, Other",6.66045024643666e-05,"vegetal_products"
262,2641,"Djibouti","Pimento",0.00173882585471422,"vegetal_products"
268,2618,"Georgia","Pineapples and products",8.72619385239643e-05,"vegetal_products"
499,2620,"Montenegro","Grapes and products (excl wine)",0.0132254677501361,"vegetal_products"
242,2613,"Fiji","Grapefruit and products",3.75179617241755e-05,"vegetal_products"
328,2618,"Guyana","Pineapples and products",0.00116756940658865,"vegetal_products"
348,2612,"Hungary","Lemons, Limes and products",0.000197106476918832,"vegetal_products"
620,2614,"Portugal","Citrus, Other",0.000165452398203986,"vegetal_products"
642,2614,"Romania","Citrus, Other",8.96882436650203e-06,"vegetal_products"
462,2620,"Maldives","Grapes and products (excl wine)",0.00124078331879807,"vegetal_products"
784,2612,"United Arab Emirates","Lemons, Limes and products",0.000777843511032231,"vegetal_products"
764,2605,"Thailand","Vegetables, other",0.0137263627874402,"vegetal_products"
540,2617,"New Caledonia","Apples and products",0.00826492308720496,"vegetal_products"
578,2615,"Norway","Bananas",0.00931500898922499,"vegetal_products"
854,2615,"Burkina Faso","Bananas",3.08790890668725e-05,"vegetal_products"
882,2619,"Samoa","Dates",0,"vegetal_products"
222,2614,"El Salvador","Citrus, Other",4.22477330250529e-05,"vegetal_products"
516,2616,"Namibia","Plantains",0,"vegetal_products"
276,2611,"Germany","Oranges, Mandarines",0.00291023057980748,"vegetal_products"
144,2605,"Sri Lanka","Vegetables, other",0.00730418965720248,"vegetal_products"
780,2614,"Trinidad and Tobago","Citrus, Other",0.00204761468170288,"vegetal_products"
512,2617,"Oman","Apples and products",0.00449429288876549,"vegetal_products"
662,2618,"Saint Lucia","Pineapples and products",0.000376779399586328,"vegetal_products"
591,2615,"Panama","Bananas",0.00853616768224981,"vegetal_products"
834,2602,"United Republic of Tanzania","Onions",0.000966545069061204,"vegetal_products"
862,2612,"Venezuela (Bolivarian Republic of)","Lemons, Limes and products",0.000484924355239762,"vegetal_products"
124,2613,"Canada","Grapefruit and products",0.000381801189852066,"vegetal_products"
686,2611,"Senegal","Oranges, Mandarines",0.00120130147780443,"vegetal_products"
616,2614,"Poland","Citrus, Other",7.5531772730706e-05,"vegetal_products"
440,2618,"Lithuania","Pineapples and products",0.00035072799337031,"vegetal_products"
417,2619,"Kyrgyzstan","Dates",2.62778545257974e-05,"vegetal_products"
372,2616,"Ireland","Plantains",0.00117073928579355,"vegetal_products"
422,2613,"Lebanon","Grapefruit and products",0.000160826582993081,"vegetal_products"
705,2615,"Slovenia","Bananas",0.00605291783678317,"vegetal_products"
788,2616,"Tunisia","Plantains",0,"vegetal_products"
178,2617,"Congo","Apples and products",0.000183337662139245,"vegetal_products"
380,2611,"Italy","Oranges, Mandarines",0.0124284841795639,"vegetal_products"
458,2613,"Malaysia","Grapefruit and products",6.73474668490956e-05,"vegetal_products"
170,2601,"Colombia","Tomatoes and products",0.00231445929873312,"vegetal_products"
180,2613,"Democratic Republic of the Congo","Grapefruit and products",4.16109926995825e-05,"vegetal_products"
562,2617,"Niger","Apples and products",2.35204647643837e-05,"vegetal_products"
